"","time","device_id","s_0","s_1","s_2","s_3","s_d0","s_t0","s_h0"
"304",2017-10-13 22:30:48,"781463DA0104F70A",0,100,1,0,11,27.63,81
"305",2017-10-13 22:31:01,"781463DA0104F417",0,100,1,0,12,26.46,85
"306",2017-10-13 22:31:02,"781463DA0149A43B",0,100,1,0,12,26.81,84
"307",2017-10-13 22:31:05,"28C2DDDD4242",0,100,1,0,0,32.25,79
"308",2017-10-13 22:31:08,"781463DA0104F787",0,100,1,0,6,29.29,75
"309",2017-10-13 22:31:09,"28C2DDDD45E6",0,100,1,0,2,32.37,76
"310",2017-10-13 22:31:10,"28C2DDDD4357",0,100,1,0,0,28.37,117
"311",2017-10-13 22:31:10,"781463DA0149ABAC",0,100,1,0,18,26.23,85
"312",2017-10-13 22:31:11,"781463DA0104F657",0,100,1,0,0,26.04,87
"313",2017-10-13 22:31:14,"781463DA0104F624",0,100,1,0,10,27.34,82
"314",2017-10-13 22:31:16,"28C2DDDD434C",0,100,1,0,19,31.37,66
"315",2017-10-13 22:31:17,"781463DA0149B198",0,100,1,0,13,27.63,80
"316",2017-10-13 22:31:19,"781463DA0149AD11",0,100,1,0,13,28.93,76
"317",2017-10-13 22:31:22,"781463DA0104F38D",0,100,1,0,11,29.74,74
"318",2017-10-13 22:31:24,"781463DA0104F314",0,100,1,0,11,26.31,80
"319",2017-10-13 22:31:25,"28C2DDDD47C0",0,100,1,0,19,33.37,65
"320",2017-10-13 22:31:26,"781463DA0104F38E",0,100,1,0,23,27.15,83
"321",2017-10-13 22:31:26,"781463DA0149A7F0",0,100,1,0,12,27.68,81
